revision,step,trace,max_eig,stable_rank
step0,0,-6.937500,1.338000,35.856000
step1,1,-5.406250,1.338000,33.385000
step2,2,-3.203125,1.335000,33.666000
step4,4,-6.187500,1.337000,35.364000
step8,8,-5.375000,1.385000,34.357000
step16,16,4.562500,1.546000,24.225000
step32,32,22.125000,1.710000,14.157000
step64,64,37.500000,0.953000,17.755000
step128,128,48.500000,1.415000,7.346000
step256,256,150.000000,6.384000,3.556000
step512,512,632.000000,20.068000,5.965000
step1000,1000,1040.000000,6.506000,49.865000
step2000,2000,1288.000000,13.244000,16.387000
step5000,5000,1456.000000,15.490000,17.182000
step10000,10000,1744.000000,28.643000,9.738000
step20000,20000,1872.000000,35.382000,10.376000
step50000,50000,2800.000000,106.390000,8.787000
step100000,100000,8128.000000,2734.182000,4.302000
step140000,140000,164864.000000,155846.172000,32.922000
