revision,step,trace,max_eig,stable_rank
step0,0,3.828125,-0.661000,17.738000
step1,1,0.523438,-0.661000,18.095000
step2,2,4.093750,-0.661000,17.595000
step4,4,4.406250,0.661000,17.881000
step8,8,5.625000,0.709000,11.749000
step16,16,14.187500,0.882000,11.971000
step32,32,35.750000,1.269000,10.790000
step64,64,33.500000,1.215000,11.855000
step128,128,26.625000,1.754000,3.061000
step256,256,51.250000,3.711000,4.141000
step512,512,360.000000,29.384000,5.781000
step1000,1000,348.000000,14.881000,9.752000
step2000,2000,468.000000,14.899000,14.680000
step5000,5000,1112.000000,22.368000,10.677000
step10000,10000,1360.000000,25.736000,10.626000
step20000,20000,1488.000000,24.324000,12.312000
step50000,50000,2592.000000,49.633000,11.325000
step100000,100000,4864.000000,-357.482000,4.647000
step140000,140000,8512.000000,732.726000,16.330000
