revision,step,trace,max_eig,stable_rank
step0,0,-0.00830078125,-0.053,59.449
step1,1,-0.2890625,-0.053,59.101
step2,2,-0.29296875,-0.053,59.797
step4,4,-0.1005859375,-0.053,56.668
step8,8,-0.291015625,-0.054,58.607
step16,16,0.63671875,-0.055,52.621
step32,32,3.59375,0.096,27.763
step64,64,8.125,0.214,17.571
step128,128,6.3125,0.19,15.474
step256,256,6.1875,0.165,16.715
step512,512,11.875,1.425,1.093
step1000,1000,40.5,3.931,1.902
step2000,2000,171.0,10.216,1.981
step5000,5000,402.0,17.781,3.128
step10000,10000,744.0,27.356,5.639
step20000,20000,1256.0,36.737,7.107
step50000,50000,26368.0,4812.853,8.01
step100000,100000,-49920.0,64545.218,2.884
step140000,140000,415744.0,130097.165,2.534
