revision,step,trace,max_eig,stable_rank
step0,0,-17.250000,4.012000,274.215000
step1,1,7.250000,4.014000,272.363000
step2,2,13.875000,4.028000,272.311000
step4,4,125.000000,4.432000,211.784000
step8,8,390.000000,4.101000,151.265000
step16,16,366.000000,1.603000,182.679000
step32,32,224.000000,4.426000,28.765000
step64,64,524.000000,3.631000,99.070000
step128,128,908.000000,11.359000,26.919000
step256,256,1328.000000,9.391000,70.665000
step512,512,2064.000000,7.493000,83.324000
step1000,1000,1920.000000,12.161000,40.661000
step2000,2000,1208.000000,7.525000,61.071000
step5000,5000,492.000000,6.435000,47.110000
step10000,10000,422.000000,17.567000,5.374000
step20000,20000,300.000000,9.217000,13.187000
step50000,50000,372.000000,6.774000,22.457000
step100000,100000,748.000000,59.052000,6.619000
step140000,140000,1264.000000,108.888000,2.819000
