revision,step,trace,max_eig,stable_rank
step0,0,512.000000,0.016000,3265.381000
step1,1,512.000000,0.016000,3280.640000
step2,2,512.000000,0.016000,3280.640000
step4,4,512.000000,0.016000,3250.122000
step8,8,512.000000,0.017000,3149.330000
step16,16,512.000000,0.102000,180.219000
step32,32,516.000000,7.918000,0.766000
step64,64,500.000000,10.890000,1.080000
step128,128,506.000000,14.403000,2.622000
step256,256,524.000000,7.950000,5.981000
step512,512,560.000000,5.473000,6.415000
step1000,1000,688.000000,7.085000,4.324000
step2000,2000,852.000000,7.338000,5.417000
step5000,5000,872.000000,9.510000,6.784000
step10000,10000,984.000000,10.717000,5.513000
step20000,20000,1136.000000,13.315000,7.526000
step50000,50000,1904.000000,36.758000,3.539000
step100000,100000,54016.000000,1344.868000,4.782000
step140000,140000,145408.000000,3388.971000,6.025000
