revision,step,trace,max_eig,stable_rank
step0,0,128.0,0.005,1894.531
step1,1,128.0,0.005,1894.531
step2,2,128.0,0.005,1894.531
step4,4,128.0,0.005,1894.531
step8,8,128.0,0.005,1894.531
step16,16,127.0,0.005,2001.953
step32,32,128.0,0.007,1992.985
step64,64,129.0,0.091,35.614
step128,128,129.0,0.599,2.722
step256,256,135.0,3.331,3.13
step512,512,157.0,2.327,5.633
step1000,1000,213.0,2.88,3.692
step2000,2000,376.0,4.685,7.433
step5000,5000,548.0,6.954,4.521
step10000,10000,808.0,10.618,5.988
step20000,20000,1312.0,15.984,5.166
step50000,50000,6080.0,124.652,5.641
step100000,100000,173056.0,3511.542,5.911
step140000,140000,250880.0,4967.25,7.354
