revision,step,trace,max_eig,stable_rank
step0,0,-2.281250,-0.165000,13.989000
step1,1,-2.937500,-0.165000,13.702000
step2,2,-2.328125,-0.165000,12.626000
step4,4,-2.328125,-0.165000,10.904000
step8,8,-1.703125,-0.153000,15.435000
step16,16,2.562500,0.181000,10.135000
step32,32,13.875000,0.296000,19.617000
step64,64,23.250000,0.400000,34.375000
step128,128,24.500000,0.311000,34.248000
step256,256,19.625000,0.315000,24.408000
step512,512,58.500000,7.400000,1.453000
step1000,1000,132.000000,4.196000,6.589000
step2000,2000,195.000000,2.962000,8.935000
step5000,5000,350.000000,3.366000,22.154000
step10000,10000,426.000000,4.189000,20.506000
step20000,20000,432.000000,4.171000,26.211000
step50000,50000,520.000000,7.189000,12.051000
step100000,100000,1248.000000,44.132000,7.589000
step140000,140000,2512.000000,-38.577000,11.831000
