revision,step,trace,max_eig,stable_rank
step0,0,8.6875,-2.073,23.968
step1,1,7.09375,-2.073,22.754
step2,2,3.53125,-2.07,26.129
step4,4,10.4375,-2.071,23.92
step8,8,-0.53515625,-1.984,23.983
step16,16,32.5,1.708,34.46
step32,32,61.25,2.369,15.095
step64,64,82.0,1.643,12.084
step128,128,79.0,1.484,10.642
step256,256,188.0,6.779,3.28
step512,512,820.0,20.877,5.082
step1000,1000,1240.0,16.534,12.781
step2000,2000,1624.0,13.424,21.894
step5000,5000,1576.0,14.427,22.485
step10000,10000,2080.0,22.669,19.05
step20000,20000,2448.0,36.456,18.463
step50000,50000,2288.0,-298.225,3.183
step100000,100000,8640.0,2143.456,7.529
step140000,140000,10048.0,6748.511,1.871
