revision,step,trace,max_eig,stable_rank
step0,0,-1.0625,-0.071,53.855
step1,1,-0.400390625,-0.071,55.793
step2,2,0.072265625,-0.071,53.468
step4,4,-0.59375,-0.071,53.08
step8,8,0.515625,-0.065,65.181
step16,16,0.75,0.074,53.501
step32,32,5.21875,0.167,15.337
step64,64,6.65625,0.249,13.924
step128,128,5.125,0.183,13.356
step256,256,6.5625,0.27,7.234
step512,512,28.0,2.984,4.714
step1000,1000,113.5,6.256,5.112
step2000,2000,672.0,22.452,8.888
step5000,5000,1560.0,62.16,11.253
step10000,10000,2880.0,103.093,12.3
step20000,20000,4048.0,120.648,14.49
step50000,50000,18944.0,2825.719,4.854
step100000,100000,3620864.0,1505157.88,0.5
step140000,140000,3702784.0,3780587.879,0.335
