revision,step,wrow_max_eig,wrow_stable_rank,wrow_trace,token_id
step0,0,0.01151522807776928,1.0,0.011515227146446705,4370
step1,1,0.01151522807776928,1.0,0.011515227146446705,4370
step2,2,0.011514527723193169,1.0,0.011514528654515743,4370
step4,4,0.011501405388116837,1.0,0.011501405388116837,4370
step8,8,0.011300358921289444,1.0,0.011300358921289444,4370
step16,16,0.009875220246613026,1.0,0.0098752211779356,4370
step32,32,0.007512372452765703,1.0,0.007512371987104416,4370
step64,64,0.010070856660604477,1.0,0.010070856660604477,4370
step128,128,0.02027793414890766,1.0,0.02027793414890766,4370
step256,256,0.12184743583202362,1.0,0.12184742838144302,4370
step512,512,0.3073250651359558,1.0,0.3073250949382782,4370
step1000,1000,18.57703971862793,1.0,18.577037811279297,4370
step2000,2000,6.720278263092041,1.0,6.720277786254883,4370
step3000,3000,9.989157676696777,1.0,9.989158630371094,4370
step4000,4000,24.49304962158203,1.0,24.49304962158203,4370
step5000,5000,43.6153564453125,1.0,43.6153564453125,4370
step6000,6000,41.12565994262695,1.0,41.12565994262695,4370
step7000,7000,37.562950134277344,1.0,37.56295394897461,4370
step8000,8000,21.43056297302246,1.0,21.43056297302246,4370
step9000,9000,30.956567764282227,1.0,30.956565856933594,4370
step10000,10000,31.56316566467285,1.0,31.563169479370117,4370
step11000,11000,17.90479278564453,1.0,17.90479278564453,4370
step12000,12000,14.42664909362793,1.0,14.426650047302246,4370
step13000,13000,44.32233428955078,1.0,44.322330474853516,4370
step14000,14000,19.374547958374023,1.0,19.374547958374023,4370
step15000,15000,32.08829116821289,1.0,32.088287353515625,4370
step16000,16000,61.079246520996094,1.0,61.07925033569336,4370
step17000,17000,29.21678924560547,1.0,29.21678924560547,4370
step18000,18000,19.57183837890625,1.0,19.57183837890625,4370
step19000,19000,35.11222457885742,1.0,35.11222457885742,4370
step20000,20000,33.09077453613281,1.0,33.09077835083008,4370
step21000,21000,79.70332336425781,1.0,79.70332336425781,4370
step22000,22000,90.13431549072266,1.0,90.13430786132812,4370
step23000,23000,44.64533233642578,1.0,44.64533233642578,4370
step24000,24000,47.777137756347656,1.0,47.777137756347656,4370
step25000,25000,81.96036529541016,1.0,81.96037292480469,4370
step26000,26000,56.115116119384766,1.0,56.115108489990234,4370
step27000,27000,59.55828857421875,1.0,59.55828857421875,4370
step28000,28000,54.64710998535156,1.0,54.6471061706543,4370
step29000,29000,43.78618621826172,1.0,43.78618621826172,4370
step30000,30000,33.829627990722656,1.0,33.82963562011719,4370
step31000,31000,17.08062744140625,1.0,17.080629348754883,4370
step32000,32000,51.550384521484375,1.0,51.550384521484375,4370
step33000,33000,111.8992919921875,1.0,111.8992919921875,4370
step34000,34000,110.22684478759766,1.0,110.22683715820312,4370
step35000,35000,68.25365447998047,1.0,68.25365447998047,4370
step36000,36000,26.308080673217773,1.0,26.30808448791504,4370
step37000,37000,42.41291046142578,1.0,42.41291427612305,4370
