revision,step,trace,max_eig,stable_rank
step0,0,484.0,28.058,161.503
step1,1,458.0,28.078,160.717
step2,2,251.0,28.064,158.689
step4,4,153.0,28.06,158.813
step8,8,316.0,27.869,158.189
step16,16,240.0,24.418,161.399
step32,32,242.0,-13.654,146.52
step64,64,660.0,28.376,19.235
step128,128,1064.0,39.518,12.979
step256,256,1808.0,99.379,13.179
step512,512,2864.0,166.446,12.912
step1000,1000,1576.0,160.891,10.546
step2000,2000,524.0,-66.871,22.635
step3000,3000,1104.0,103.086,11.106
step4000,4000,648.0,259.397,2.44
step5000,5000,1072.0,400.781,2.447
step10000,10000,984.0,-675.759,1.15
step15000,15000,1208.0,101.085,13.389
step20000,20000,1440.0,120.21,4.825
step25000,25000,1280.0,143.548,4.868
step30000,30000,664.0,108.145,6.817
step35000,35000,1280.0,161.51,4.711
step40000,40000,1000.0,188.48,4.269
step45000,45000,884.0,135.726,11.474
step50000,50000,75.5,-133.992,11.78
step55000,55000,872.0,220.552,6.696
step60000,60000,968.0,205.14,5.504
step65000,65000,332.0,203.104,7.683
step70000,70000,920.0,213.17,6.568
step75000,75000,652.0,397.865,4.449
step80000,80000,-292.0,-374.874,3.394
step85000,85000,1528.0,306.535,11.654
step90000,90000,3872.0,1028.198,2.98
step95000,95000,1480.0,536.034,3.669
step100000,100000,908.0,2876.299,1.675
step105000,105000,6080.0,5838.868,11.452
step110000,110000,8256.0,7912.075,1.077
step115000,115000,7424.0,5149.23,1.39
step120000,120000,-2704.0,-4917.567,1.029
step125000,125000,-26240.0,-7034.542,1.306
step130000,130000,5440.0,2762.741,3.652
step135000,135000,24192.0,77263.199,15.866
step140000,140000,8032.0,6863.385,0.896
