revision,step,trace,max_eig,stable_rank
step0,0,512.0,0.046,1218.396
step1,1,516.0,0.046,1211.011
step2,2,512.0,0.046,1211.011
step4,4,512.0,0.046,1225.78
step8,8,516.0,0.045,1304.012
step16,16,516.0,0.077,540.247
step32,32,516.0,2.573,1.272
step64,64,500.0,12.595,2.292
step128,128,536.0,26.936,1.154
step256,256,560.0,24.663,4.052
step512,512,568.0,31.817,2.745
step1000,1000,680.0,39.817,2.588
step2000,2000,904.0,49.536,2.852
step3000,3000,852.0,46.164,1.953
step4000,4000,952.0,50.822,2.879
step5000,5000,952.0,44.696,3.314
step10000,10000,824.0,48.916,3.906
step15000,15000,1024.0,55.984,2.121
step20000,20000,1168.0,61.28,2.927
step25000,25000,1240.0,62.485,4.036
step30000,30000,1376.0,86.459,2.821
step35000,35000,1432.0,86.722,2.973
step40000,40000,1392.0,100.887,2.519
step45000,45000,2688.0,197.604,2.713
step50000,50000,4160.0,256.911,2.799
step55000,55000,5056.0,399.759,1.972
step60000,60000,8768.0,588.645,2.362
step65000,65000,14144.0,892.07,4.425
step70000,70000,21888.0,1082.877,3.42
step75000,75000,27648.0,1426.111,3.76
step80000,80000,40960.0,1835.356,3.705
step85000,85000,47360.0,3155.78,3.079
step90000,90000,65536.0,3522.737,3.176
step95000,95000,84480.0,5403.918,2.955
step100000,100000,121856.0,3929.728,6.061
step105000,105000,137216.0,10208.398,2.302
step110000,110000,145408.0,8577.858,3.302
step115000,115000,187392.0,5888.05,6.791
step120000,120000,178176.0,5364.265,11.807
step125000,125000,208896.0,2904.058,17.551
step130000,130000,223232.0,6768.08,7.367
step135000,135000,250880.0,5910.453,10.982
step140000,140000,274432.0,13883.753,1.603
