revision,step,trace,max_eig,stable_rank
step0,0,51.25,33.122,444.19
step1,1,780.0,33.136,450.387
step2,2,-362.0,33.111,444.754
step4,4,-232.0,33.06,454.454
step8,8,508.0,33.055,441.897
step16,16,908.0,29.504,432.341
step32,32,1360.0,13.595,670.586
step64,64,1012.0,10.916,425.537
step128,128,620.0,18.719,174.856
step256,256,2336.0,57.881,87.287
step512,512,1488.0,83.543,104.25
step1000,1000,2528.0,113.374,61.039
step2000,2000,788.0,48.157,131.201
step3000,3000,1352.0,57.052,111.088
step4000,4000,1664.0,62.658,65.737
step5000,5000,1520.0,169.355,12.192
step10000,10000,1776.0,181.455,10.484
step15000,15000,1552.0,91.782,38.944
step20000,20000,1856.0,64.348,61.985
step25000,25000,656.0,72.575,54.096
step30000,30000,1600.0,69.166,59.711
step35000,35000,1744.0,101.64,28.557
step40000,40000,1112.0,101.623,43.416
step45000,45000,1432.0,118.357,33.828
step50000,50000,1712.0,101.87,50.351
step55000,55000,2144.0,-171.318,24.038
step60000,60000,2288.0,144.93,27.211
step65000,65000,2400.0,-311.543,5.524
step70000,70000,2336.0,227.553,17.26
step75000,75000,1640.0,-275.617,6.893
step80000,80000,1264.0,-491.184,7.23
step85000,85000,3088.0,528.399,8.625
step90000,90000,3488.0,1575.711,0.585
step95000,95000,948.0,-688.057,0.271
step100000,100000,9152.0,5903.307,0.775
step105000,105000,6240.0,5560.045,1.179
step110000,110000,1488.0,8480.301,4.409
step115000,115000,11776.0,9256.392,1.42
step120000,120000,5056.0,5403.667,5.121
step125000,125000,-7072.0,-15513.317,0.956
step130000,130000,1016.0,3076.427,2.405
step135000,135000,16192.0,28633.033,6.395
step140000,140000,-502.0,7476.018,4.219
