revision,step,trace,max_eig,stable_rank
step0,0,-38.25,-3.933,94.127
step1,1,5.34375,-3.933,88.955
step2,2,-38.25,-3.949,86.184
step4,4,9.75,-3.941,87.564
step8,8,10.1875,-3.842,95.387
step16,16,52.0,-3.379,91.087
step32,32,54.5,1.921,65.036
step64,64,46.5,-1.248,65.168
step128,128,38.25,-2.094,41.507
step256,256,71.0,9.992,16.767
step512,512,183.0,22.345,19.861
step1000,1000,452.0,47.391,7.587
step2000,2000,198.0,32.811,12.611
step3000,3000,458.0,44.476,11.406
step4000,4000,334.0,-31.89,17.416
step5000,5000,442.0,52.399,8.66
step10000,10000,756.0,81.769,5.959
step15000,15000,740.0,121.351,4.446
step20000,20000,688.0,74.92,9.765
step25000,25000,780.0,76.431,8.482
step30000,30000,616.0,76.441,8.669
step35000,35000,984.0,74.007,10.333
step40000,40000,592.0,79.424,10.235
step45000,45000,808.0,109.499,6.46
step50000,50000,380.0,79.263,13.794
step55000,55000,352.0,-114.227,9.27
step60000,60000,688.0,95.856,6.994
step65000,65000,584.0,95.714,11.611
step70000,70000,928.0,134.556,11.507
step75000,75000,1168.0,242.971,4.778
step80000,80000,1264.0,-478.584,2.106
step85000,85000,716.0,282.526,4.479
step90000,90000,4800.0,739.881,0.772
step95000,95000,816.0,573.017,1.569
step100000,100000,4384.0,2570.603,1.48
step105000,105000,-2224.0,3435.96,7.912
step110000,110000,10496.0,5246.753,1.924
step115000,115000,11392.0,5495.187,0.57
step120000,120000,-760.0,2675.284,1.415
step125000,125000,3712.0,-6569.173,1.643
step130000,130000,3712.0,2317.745,3.406
step135000,135000,9472.0,12149.842,1.059
step140000,140000,7264.0,7539.352,3.89
