revision,step,llc,loss
step0,0,51.95831265477352,11.0625
step1,1,35.655490968003306,11.05
step2,2,36.487267584675905,11.04375
step4,4,41.08976486359354,11.05625
step8,8,52.79008927144517,11.01875
step16,16,40.42434357025612,10.9375
step32,32,40.97886131470405,10.71875
step64,64,45.91406924029062,10.3
step128,128,53.178251692559336,9.54375
step256,256,44.30596778139183,7.771875
step512,512,49.019368609199425,6.378125
step1000,1000,73.1131646054632,5.490625
step2000,2000,121.99390377855052,4.75625
step5000,5000,180.2459928328083,4.396875
step10000,10000,268.6083954105899,4.30625
step20000,20000,436.01730245942787,4.29375
step50000,50000,1624.1824734880636,4.475
step100000,100000,17752.109263659087,6.4
step140000,140000,20703.91812090445,6.3375
