revision,step,llc,loss
step0,0,-2.328974526681662,11.05625
step1,1,0.5545177444479247,11.05
step2,2,-5.267918572255521,11.0625
step4,4,-0.22180709777898075,11.0625
step8,8,4.43614195558387,11.0
step16,16,7.763248422271419,10.9375
step32,32,3.4380100155770386,10.7125
step64,64,-3.659817113356492,10.3125
step128,128,-1.6635532333437741,9.55625
step256,256,11.145806663403947,7.7625
step512,512,27.864516658509988,6.396875
step1000,1000,58.72342913703858,5.490625
step2000,2000,100.89450360230583,4.771875
step5000,5000,272.85045615561694,4.403125
step10000,10000,456.09084480844405,4.390625
step20000,20000,731.9356967840798,4.246875
step50000,50000,933.6692522142463,4.46875
step100000,100000,1027.8540911087316,6.44375
step140000,140000,1453.3355564236485,6.2875
