revision,step,llc,loss
step0,0,-5.65608099336921,11.0625
step1,1,-3.2162029177980576,11.05625
step2,2,-4.602497278918106,11.05625
step4,4,-4.491593730028615,11.05625
step8,8,2.3844263011264073,11.00625
step16,16,1.386294361120048,10.9375
step32,32,8.539573264498324,10.71875
step64,64,11.145806663404185,10.2875
step128,128,19.962638800126708,9.54375
step256,256,47.54989658641226,7.784375
step512,512,254.44046703994474,6.365625
step1000,1000,356.7767167778151,5.503125
step2000,2000,459.7506619218003,4.759375
step5000,5000,543.5382931078866,4.378125
step10000,10000,544.3700697245586,4.340625
step20000,20000,601.7072045004772,4.2875
step50000,50000,630.6253048734382,4.4875
step100000,100000,1112.5844024603794,6.353125
step140000,140000,2085.4857850943185,6.29375
