revision,step,llc,loss
step0,0,42.03244502915515,11.04375
step1,1,28.945826260182994,11.05625
step2,2,42.198800352489386,11.05
step4,4,32.21748095242627,11.05625
step8,8,55.50722621924052,11.00625
step16,16,60.77514479149605,10.9375
step32,32,95.93156978949665,10.71875
step64,64,165.85625736438368,10.29375
step128,128,303.43210976192177,9.54375
step256,256,552.8541912146121,7.796875
step512,512,877.136168167777,6.35
step1000,1000,1100.7731745036376,5.4625
step2000,2000,1505.6265797250906,4.71875
step5000,5000,2034.9137668006647,4.415625
step10000,10000,2453.6855674077615,4.265625
step20000,20000,2748.5781039051844,4.265625
step50000,50000,4089.1247511081183,4.446875
step100000,100000,13182.16217634015,6.409375
step140000,140000,12371.124523310567,6.265625
