revision,step,llc,loss
step0,0,4.1588830833596715,11.04375
step1,1,-0.720873067782633,11.05
step2,2,0.3881624211136891,11.05625
step4,4,4.43614195558387,11.04375
step8,8,3.6043653389117467,11.00625
step16,16,-0.05545177444474519,10.94375
step32,32,7.541441324492437,10.7
step64,64,0.6099695188931427,10.29375
step128,128,2.772588722240096,9.54375
step256,256,-2.190345090569326,7.796875
step512,512,-0.30498475944657133,6.384375
step1000,1000,6.681938820597941,5.5375
step2000,2000,79.49011866661456,4.740625
step5000,5000,176.86343459167554,4.41875
step10000,10000,245.45727957988774,4.3375
step20000,20000,372.7191019306938,4.2375
step50000,50000,608.9991128399679,4.409375
step100000,100000,1274.8917462602963,6.33125
step140000,140000,1659.06163961384,6.25
