revision,step,trace,trace_std,max_eig,max_eig_std,stable_rank,stable_rank_std
step0,0,127.9,0.30000000000000004,0.004999999999999999,8.673617379884035e-19,1884.7657,7.564323777443672
step1,1,127.8,0.4,0.004999999999999999,8.673617379884035e-19,1884.766,0.0
step2,2,128.0,0.0,0.004999999999999999,8.673617379884035e-19,1886.7187999999999,7.307777593769502
step4,4,127.9,0.30000000000000004,0.004999999999999999,8.673617379884035e-19,1882.8127,5.859400004266654
step8,8,128.0,0.0,0.004999999999999999,8.673617379884035e-19,1883.7892,6.835885718763872
step16,16,128.0,0.0,0.004999999999999999,8.673617379884035e-19,2000.0002000000004,7.307777593769502
step32,32,128.0,0.0,0.007000000000000001,8.673617379884035e-19,1995.9745000000003,6.3807133026018805
step64,64,128.0,0.4472135954999579,0.091,0.0,35.732,0.5800767190639537
step128,128,130.0,0.0,0.598,0.0,1.7555,0.33972054692055353
step256,256,137.7,2.9681644159311658,3.3348,0.000979795897113263,1.7645999999999997,0.628398790578085
step512,512,153.1,4.928488612140643,2.3272999999999997,0.0004582575694955335,5.1446000000000005,0.8667299694829989
step1000,1000,212.4,2.2449944320643644,2.8779,0.001135781669160141,4.5256,0.8258441983812687
step2000,2000,366.0,6.985699678629192,4.6826,0.0010198039027185144,5.4529,0.28672336842329416
step5000,5000,559.6,7.472616676907761,6.9620999999999995,0.0016401219466856572,6.315800000000001,0.8724913523926757
step10000,10000,815.2,23.310083654933543,10.619399999999999,0.002289104628451908,5.509199999999999,1.062214460455138
step20000,20000,1285.6,19.935897271003377,15.906900000000002,0.004109744517606748,5.45,0.8179524436053723
step50000,50000,5916.8,144.8508198112803,124.10560000000001,0.043527462595468726,5.0753,0.8951410000664699
step100000,100000,164864.0,4197.151033737052,3708.8943,0.5346548512826543,5.4350000000000005,1.6633074881091587
step140000,140000,253030.4,5427.200000000001,4491.7451,0.8980126335415155,7.8346,1.1711558564085314
