revision,step,trace,max_eig,stable_rank
step0,0,-2.09375,-0.718,22.069
step1,1,0.59765625,-0.718,24.696
step2,2,-1.5390625,-0.707,22.92
step4,4,-4.0625,-0.708,23.12
step8,8,-5.5,-0.689,24.225
step16,16,-3.328125,-0.658,27.43
step32,32,6.75,-0.573,30.716
step64,64,-3.671875,0.373,24.865
step128,128,-70.0,2.642,6.8
step256,256,-219.0,28.168,3.197
step512,512,-464.0,-34.918,5.675
step1000,1000,-1472.0,67.806,3.473
step2000,2000,-1960.0,-54.904,7.653
step5000,5000,-3056.0,24.772,30.375
step10000,10000,-4192.0,-76.939,8.155
step20000,20000,-5056.0,125.645,7.152
step50000,50000,-7936.0,489.242,2.564
step100000,100000,-1488.0,6938.258,1.491
step140000,140000,3424.0,3036.598,3.555
