revision,step,trace,max_eig,stable_rank
step0,0,129.0,0.004,3311.157
step1,1,128.0,0.004,3295.898
step2,2,128.0,0.004,3311.157
step4,4,129.0,0.004,3311.157
step8,8,129.0,0.005,2119.141
step16,16,129.0,0.005,2285.156
step32,32,129.0,0.008,1655.579
step64,64,128.0,0.081,45.248
step128,128,130.0,0.515,2.18
step256,256,138.0,3.008,1.991
step512,512,147.0,2.175,7.128
step1000,1000,221.0,4.248,2.839
step2000,2000,380.0,9.238,2.286
step5000,5000,596.0,7.8,7.59
step10000,10000,864.0,16.7,2.798
step20000,20000,1336.0,27.471,3.227
step50000,50000,5696.0,108.442,6.316
step100000,100000,168960.0,3234.618,6.612
step140000,140000,262144.0,3971.062,9.172
