revision,step,trace,max_eig,stable_rank
step0,0,-0.2451171875,0.068,33.58
step1,1,-0.07080078125,0.068,36.537
step2,2,-0.1552734375,0.068,36.959
step4,4,-0.380859375,0.068,38.437
step8,8,0.462890625,0.071,31.577
step16,16,1.5625,0.084,22.006
step32,32,4.375,0.129,10.915
step64,64,3.09375,0.087,13.999
step128,128,1.6015625,0.187,9.998
step256,256,-7.59375,1.285,14.913
step512,512,-51.5,-3.57,8.548
step1000,1000,-102.0,-8.458,3.297
step2000,2000,-129.0,-19.466,3.105
step5000,5000,-276.0,-21.339,6.696
step10000,10000,-716.0,-78.241,2.333
step20000,20000,-1232.0,-104.356,4.09
step50000,50000,-1264.0,498.135,1.945
step100000,100000,9216.0,18556.695,17.278
step140000,140000,12416.0,5095.042,2.202
